,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,comments,weibo_content,repost_num,thumbs_up,comment_num
0,63,1,5144465848,  北京,2019-08-09 22:54:39,https://weibo.cn/comment/I1tm7zm98,['中'],['no comment accessible'],no access,no access,no access,no access
1,211,1,6557230118,  其他,2019-08-10 12:41:03,https://weibo.cn/comment/I1yLyzrSI,['中'],['no comment accessible'],no access,no access,no access,no access
2,21,1,2704669457,  山东,2019-08-09 17:34:13,https://weibo.cn/comment/I1rg3Acxm,['中'],['no comment accessible'],no access,no access,no access,no access
3,14,2,5679726425,  其他,2019-08-09 17:42:41,https://weibo.cn/comment/I1rjuCZCd,['中'],['no comment accessible'],no access,no access,no access,no access
4,11,1,7267952918,  北京,2019-08-09 20:50:41,https://weibo.cn/comment/I1sxOmaRI,['中'],['no comment accessible'],no access,no access,no access,no access
5,12,1,1885799302,  浙江,2019-08-10 11:29:35,https://weibo.cn/comment/I1yiyf91T,['中'],['no comment accessible'],no access,no access,no access,no access
6,11,1,6321164854,  其他,2019-08-09 18:34:35,https://weibo.cn/comment/I1rEz341I,['中'],['no comment accessible'],no access,no access,no access,no access
7,14,1,5974658278,  浙江,2019-08-09 17:06:24,https://weibo.cn/comment/I1r4LAqjo,['中'],['no comment accessible'],no access,no access,no access,no access
8,11,4,1915596045,  上海,2019-08-09 21:23:02,https://weibo.cn/comment/I1sKW9ult,['中'],['no comment accessible'],no access,no access,no access,no access
9,12,1,1799653220,  山东,2019-08-09 13:41:55,https://weibo.cn/comment/I1pJLzBkT,['中'],['no comment accessible'],no access,no access,no access,no access
10,23,7,2966521665,  广东,2019-08-10 13:01:35,https://weibo.cn/comment/I1yTU02qd,['中'],['no comment accessible'],no access,no access,no access,no access
11,13,1,5040718691,  广东,2019-08-10 09:39:05,https://weibo.cn/comment/I1xzHCAI0,['中'],['no comment accessible'],no access,no access,no access,no access
12,13,1,3676552201,  其他,2019-08-09 12:57:04,https://weibo.cn/comment/I1przmR59,['中'],['no comment accessible'],no access,no access,no access,no access
13,25,1,2614436545,  浙江,2019-08-09 16:40:03,https://weibo.cn/comment/I1qU4ur1S,['正常'],['no comment accessible'],no access,no access,no access,no access
14,73,1,3807973089,  广西,2019-08-09 21:47:58,https://weibo.cn/comment/I1sV3rl76,['中'],['no comment accessible'],no access,no access,no access,no access
15,25,1,2866073222,  江苏,2019-08-10 22:02:25,https://weibo.cn/comment/I1Crq76cs,['中'],['no comment accessible'],no access,no access,no access,no access
16,28,1,2924424367,  上海,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
17,17,1,3347738904,  山东,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
18,73,1,5311097831,  河北,2019-08-10 18:58:46,https://weibo.cn/comment/I1BeShFSq,['中'],['no comment accessible'],no access,no access,no access,no access
19,375,195,6525589890,  北京,2019-08-09 17:30:23,https://weibo.cn/comment/I1revf6wd,['中'],['no comment accessible'],no access,no access,no access,no access
