,view_num,inform_num,inform_id,reported_id,reported_address,post_time,reported_credit,weibo_content,repost_num,likes,comment_num,id_tweets,id_following,id_follower,label
0,93.0,2.0,I4nIJ7zvo,1916653805,  浙江,2019-08-29 02:04:46,中,:昨天和室友打电话，我感慨了一句，你家的财力在中产阶级里也就到头了，再要跨越阶级就要创业之类的啦。结果今天杭州地铁挖塌了她们老家…………直接5倍赔偿了,3,9,7,21563,1051,986,1
1,112.0,2.0,I4bx6mfOp,1909702753,  上海,2019-08-27 19:03:09,中,:分享图片 ,129,30,1,204161,2060,15658,1
2,396.0,45.0,I3p4jwsfR,5185572214,  河南,2019-08-22 15:40:24,中,:#郑州爆料# 重要通知：少数民族运动会期间，郑州所有物流停运，大家该屯东西的这两天赶紧！8月25号起快递停运！@郑州同城,9,239,125,11659,804,354043,1
3,188.0,6.0,I3vhGrFbo,5616413326,  广东,2019-08-23 07:29:49,中,:【江苏宜兴警方调查涉黄浴室】网友爆料称，江苏宜兴警方调查涉黄浴室二维码转账记录，付款超过600元者都涉嫌嫖娼需到派出所报道，已抓获1200余名嫖客。为此，宜兴警方回应称传唤这些人只是说明情况，配合调查，是否嫖娼会根据证据进行认定。,28,1251,156,38143,269,4851701,1
4,70.0,1.0,I4r1barw9,2742655797,  其他,2019-08-29 10:28:28,中,:局座退休后移民美国，骂了一辈子，把所有小孩否送出去，嘴巴很硬，说话为赚钱，身体很诚实！从今以后，你听不到他怼了！ ,0,1,0,2560,863,11746,1
5,73.0,1.0,I3xGb4P2F,2260417513,  海外,2019-08-23 13:35:39,中,:被世界列为疑难杂症的白血病被日本攻克！治療费用约为3300万日元💴200万人民币。正式被列为医疗保险里！30%自己负担，约为990万日币 日本·东京,35,88,41,3143,992,104984,1
6,78.0,1.0,I4d0466sy,1163390501,  上海,2019-08-27 22:47:16,中,:据网友说是重庆到利川避暑的自驾车，不知怎么的被困水里了。开始时在水里陷的不深，有人建议车上人先下来，再用绳子救车，但车上人不采纳。从找绳子到喊人过了相当一段时间，完全可以从车窗往外转移车内的人。由于车上人固执，导致错过救人关键时机，车慢慢移向深水中…… http://t.cn/Ai8iqOdD,79,897,124,29821,902,2223512,1
7,68.0,1.0,I43vrm4zW,5143137592,  北京 海淀区,2019-08-26 22:37:06,中,:#新闻# 自求多福🙏🙏🙏重庆到利川避暑的自驾车不幸坠河。先车在小河沟陷得不深，完全可以从车窗往外转移车内人。因当时的水只淹没腿部，完全可以救出车内所有乘客。由于车上人固执，导致错过救人关键时机，车上的人慢慢在深水中沉沒。 夜闻会的微博视频 ,0,2,1,814,447,58684,1
8,68.0,1.0,I4mbfeqNn,2569360232,  安徽,2019-08-28 22:09:32,正常,:据网友说是重庆到利川避暑的自驾车，不知怎么的被困水里了。开始时在水里陷的不深，有人建议车上人先下来，再用绳子救车，但车上人不采纳。从找绳子到喊人过了相当一段时间，完全可以从车窗往外转移车内的人。由于车上人固执，导致错过救人关键时机，车慢慢移向深水中……,0,3,1,21005,245,148807,1
9,95.0,1.0,I41Zw68V8,6078562289,  湖北,2019-08-26 18:45:41,中,:【侥幸酿大祸！自驾避暑途中被河水卷走】近日，重庆到利川避暑的自驾车不幸坠河。先车在小河沟陷得不深，有人建议车上人先下来，再用绳子牵上车，但车上人心存侥幸不予采纳。待周围人群找到绳子试图打捞车辆时，水势已不容控制，在一片惊呼声中车身随水流没入深水中…… 月亮湖视频的微博视频 ,12,25,18,29131,380,297724,1
10,78.0,1.0,I4sQljJc0,3841033240,  北京,2019-08-29 15:07:16,中,:重庆到利川避暑的自驾车不幸坠河。先车在小河沟陷得不深，有人建议车上人先下来，再用绳子牵上车，但车上人不采纳。从找绳子到喊人过了相当一段时间，完全可以从车窗往外转移车内人。因当时的水只淹没腿部，完全可以救出车内所有乘客。由于车上人固执，导致错过救人关键时机，车慢慢移向深水中…… 京城一一赵勇的微博视频,7,5,14,9854,587,237562,1
11,84.0,3.0,I4LoHCYv6,7055420052,  海外,2019-08-31 14:21:22,中,:#洋垃圾#8月28日，在广东深圳一购物中心，一个1岁多幼童突然遭受黑人袭击，莫名其妙被踢倒在地！其实不是莫名其妙，全世界各地黑人，都流行搞“击倒游戏”，突然袭击，将老弱病残孕一击击倒，然后将视频发到网上，互相炫耀点赞http://t.cn/AiRhfEUw,425,842,162,6324,2485,20198,1
12,28.0,1.0,I4RGthS2c,6982536972,  湖南,2019-09-01 06:21:36,中,:#深圳爆料# 8月28日，在广东深圳一购物中心，一个1岁多幼童突然遭受黑人暴力袭击，被踢倒在地！！！,441,936,136,1999,400,20663,1
13,14.0,2.0,I55Hk6mnx,2606461705,  河北,2019-09-02 18:02:10,中,:2019环邢台国际自行车赛连环大撞车 扫黑除恶在行动哈哈的微博视频,2,5,4,460,295,98,1
14,13.0,11.0,I3mooi4dK,6606250421,  海外,2019-08-22 08:51:37,中,:朝鲜铀浓缩工厂“将放射性废料泄漏到附近的一条河中，使数十万人面临罹患癌症和脑缺陷的风险”平山铀矿厂将矿石变成“黄饼”，可用作燃料化学过程中产生剧毒废水，这些废水被送往储水罐但是卫星照片显示，携带这些废水的管道正在向附近的河流泄漏研究人员雅各布·博格尔表示，垃圾中含有放射性镭和重金属，将使40万人面临癌症和大脑缺陷的风险,973,2302,304,3177,374,55384,1
15,76.0,2.0,I3nqgdu4U,6107054710,  山东,2019-08-22 11:28:58,中,:重要通知，请各位居民请不要到河边观看河水，接上级通知西岭镇月牙湖垮塌，河水马上冲下来。必要时注意群众游客转移，请大家多注意安全，相互告知。（还有大家不要下河逮鱼了！！） 东营 cwq淡然的微博视频 ,0,5,1,8081,281,756,1
16,43.0,1.0,I1GU3Acbz,6187207675,  广东,2019-08-11 09:23:57,正常,:一大妈碰瓷，头硬是往车上撞，车主没法，给三千元了事！ 网络重君的微博视频 ,2,23,11,12268,63,203666,1
17,202.0,2.0,I1SUcwz9E,1762526612,  湖北,2019-08-12 15:57:17,中,:发生在我们小区的真事情，E3栋发生的，我住E5栋,20,212,110,80,723,1553,1
18,22.0,10.0,I1Qet6W2M,6039640022,  北京,2019-08-12 09:08:58,中,:大家注意了，⚠️⚠️⚠️皇姑区凤凰山路（友谊宾馆对面）附近千万别去，变压器泡水，漏电了，大家动动手指，转发一下，远离危险地带！ 沈阳 ,0,0,2,74,45,24,1
19,27.0,12.0,I1PL08JZs,1969467143,  辽宁,2019-08-12 07:56:22,中,:大家注意了，🎉🎉🎉🎉🎉皇姑区凤凰山路（友谊宾馆对面）附近千万别去，变压器泡水，漏电了。 ,0,0,3,1391,114,172,1
20,60.0,1.0,I1Thx0hw1,7195001932,  辽宁,2019-08-12 16:54:45,中,:光天化日之下抢小孩全员枪毙，立刻执行 段雀鳝的微博视频 ,15,42,11,1867,55,29518,1
21,30.0,1.0,HvX3iyVca,6329822151,  内蒙古,2019-05-26 10:55:30,正常,:#预防艾滋病# 【人民网:贵州落马副县长供出30名异性名单传患上艾滋病】这个传言是：三穗县当地一位女教师在检查中发现艾滋病，随后向警方报案称遭到了副县长杨昌明的强奸，杨随即纳入政法部门的视野，最后落马，其供述与下属女干部、女教师及发廊女30多人发生过性关系。 辽阔草原锡林郭勒的秒拍视频,65,38,49,16532,8810,123498,1
22,45.0,1.0,Hy4iEAtoK,6920941945,  陕西,2019-06-09 09:03:09,中,:#熊熊之火可以燎原[超话]#贵州落马副县长患上艾滋病！,1,2,2,1513,4666,4875,1
23,23.0,1.0,I2ZZgoEL8,3325992330,  广东,2019-08-19 23:49:16,中,nn,nn,nn,nn,nn,nn,nn,1
24,19.0,1.0,I32Uf8fGM,6438838668,  海外,2019-08-20 07:15:09,中,:保时捷女车主住处曝光，800万豪华别墅，出行保时捷豪车，一个当地的派出所所长工资能有多少呢？,0,10,6,45048,27,377972,1
25,22.0,1.0,I0Dn8fQhI,2614543117,  上海,2019-08-04 10:34:18,正常,:开#重庆保时捷女车主住处曝光# 保时捷，住独栋别墅800万起高档小区，也许很多人会惊讶，但这也许只是冰山一角。与严夫人一样，大家关心的是她家的收入是如何支撑这些奢侈消费的。这一耳光，或许够她后悔一辈子。,15,473,81,78056,488,4761523,1
26,22.0,5.0,I2Yzj6Nk3,6191484400,  其他,2019-08-19 20:12:35,中,:11年前汶川地震全香港向大陆捐款200亿人民币如今咋就成了“废青”、“穷逼”?,1,0,32,29,50,45,1
27,71.0,1.0,I0FeazVdq,6405349029,  北京,2019-08-04 15:17:43,正常,:重庆保时捷女车主住处曝光， 开保时捷，住独栋别墅800万起高档小区，也许很多人会惊讶，但这也许只是冰山一角。与严夫人一样，大家关心的是她家的收入是如何支撑这些奢侈消费的。这一耳光，或许够她后悔一辈子。,27,830,175,35278,113,307981,1
28,22.0,1.0,I0DnqxRyW,6586580892,  北京,2019-08-04 10:35:02,正常,:重庆保时捷女车主住处曝光，开保时捷，住独栋别墅800万起高档小区，也许很多人会惊讶，但这也许只是冰山一角。与严夫人一样，大家关心的是她家的收入是如何支撑这些奢侈消费的。这一耳光，或许够她后悔一辈子。,37,601,116,13806,92,387269,1
29,95.0,1.0,I0vUKvB8F,3201509481,  北京,2019-08-03 15:35:09,中,:保时捷女车主住处曝光，800万豪华别墅，出行保时捷豪车，一个当地的派出所所长工资能有多少呢？,43,956,196,68595,148,2472260,1
30,86.0,5.0,I3nNizUdN,6183832861,  安徽,2019-08-22 12:25:44,中,:广西南丹县吃猪肉全家中毒死亡，,1,1,4,83,475,95,1
31,264.0,2.0,I37VYmyEr,1626336345,  河北 保定,2019-08-20 20:03:08,中,:云南边境果敢出现缅甸军人抢劫。中国武警火速出击 云南边境果敢出现缅甸军人抢劫。中国武警火速出击 @优酷 ,31,221,11,12619,590,633,1
32,15.0,1.0,I1yiyf91T,1885799302,  浙江,2019-08-10 11:29:35,中,:#风王利奇马登陆浙江温岭#  台风登陆现场：所经之处四处“飞沙走石”，连汽车也站不稳啊！ http://t.cn/AiTjvtOQ ,0,4,0,1778,354,472,1
33,17.0,2.0,I1rjuCZCd,5679726425,  其他,2019-08-09 17:42:41,中,:这次台风🌀（利奇马）登陆乐清湾 http://t.cn/AiTCHF22,3,21,3,10,11,23,1
34,14.0,4.0,I1sKW9ult,1915596045,  上海,2019-08-09 21:23:02,中,:#超强台风利奇马来了# 没事别出门，出门注意安全！ http://t.cn/AiTpTnH2,12,68,8,6674,842,3964,1
35,14.0,1.0,I1rEz341I,6321164854,  其他,2019-08-09 18:34:35,中,:台风天 台州·金都花园 http://t.cn/AiTNGcT3,0,0,4,22,221,2,1
36,15.0,1.0,I1pJLzBkT,1799653220,  山东,2019-08-09 13:41:55,中,:#浙江台风# 台州 http://t.cn/AiTKfZXm ,0,4,1,1128,357,250,1
37,26.0,7.0,I1yTU02qd,2966521665,  广东,2019-08-10 13:01:35,中,:#宁波一村庄爆发山洪#看看椒江一桥二桥多严重，在浙江的朋友们小心#台风利奇马# http://t.cn/AiTjTmlV ,9,52,13,1486,602,3422,1
38,18.0,1.0,I1r4LAqjo,5974658278,  浙江,2019-08-09 17:06:24,中,:台州最新资讯真的要哈厮人啊#台风##台州# 临沂 http://t.cn/AiTCfXZW ,0,5,1,150,34,178,1
