,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path,weibo_content,repost_num,thumbs_up,comment_num,id_tweets,id_following,id_follower
0,41,1,2456588133,  海外 新加坡,2019-03-15 11:02:08,https://weibo.cn/comment/Hl0kes147,['中'],https://weibo.cn/u/2456588133,:🙏 🙏 🙏 埃航失事客机黑匣子已找到，这是自动记录仪录下的最后10秒钟……人们濒死的惨叫声🙏🙏🙏……活着就是最大的幸运，没那么多的事和人值得你去计较，人赤祼祼的来到这个世界，也赤裸裸的离开，保持一份好心情，去爱你想爱的人，去做你想做的事，趁阳光正好，趁微风不噪，趁你还未老！🙏 🙏 🙏 且行且珍惜……🙏 🙏 🙏 新加坡·Holiday inn Singapore O常美的秒拍视频,1,2,4,622,162,166
1,38,1,3438403024,  浙江 宁波,2019-03-14 13:26:02,https://weibo.cn/comment/HkRQ9u2uu,['中'],https://weibo.cn/u/3438403024,:#埃塞俄比亚客机失事# 你们留下的最后的声音  你们该多绝望😰 Nico遇见Annie-泰国素万招代理的微博视频 ,1,2,4,1073,889,1069
2,39,1,5125984008,  海外 其他,2019-03-13 23:24:14,https://weibo.cn/comment/HkMksrnMZ,['中'],https://weibo.cn/u/5125984008,:埃塞俄比亚航空的最后视频。。。唉#埃塞俄比亚客机失事# 尼日利亚·拉各斯 不飞的耶稣的微博视频 ,3,3,3,373,186,74
3,40,1,6899527249,  河北 唐山,2019-03-15 18:00:31,https://weibo.cn/comment/Hl34443kQ,['中'],https://weibo.cn/u/6899527249,:🙏埃航失事客机黑匣子已找到，这是自动记录仪录下的最后10秒钟……人们濒死的惨叫声……触动人心，逝者已矣，生者如斯，活着就是最大的幸运，没那么多的事和人值得你去计较，人赤祼祼的来到这个世界，也赤裸裸的离开，保持一份好心情，多一些包容，少一些勾心斗角，去做你想做的事，趁阳光正好，趁微风不噪，趁你还未老，开心过好每一天！ 唐山·迁安 防空洞里的怪物的秒拍视频,1,2,2,15,10,31
4,43,2,5070490645,  浙江 台州,2019-03-16 09:20:09,https://weibo.cn/comment/Hl95lh7ue,['中'],https://weibo.cn/u/5070490645,:埃航失事客机黑匣子已找到，这是自动记录仪录下的最后10秒钟……人们濒死的惨叫声,2,10,5,1067,386,196
5,43,1,3074190771,  北京 丰台区,2019-03-16 07:45:36,https://weibo.cn/comment/Hl8sY27nc,['中'],https://weibo.cn/u/3074190771,:狂犬病，发病就没救了，太可怕了,4,4,28,3663,743,32414
6,39,2,1854314067,  其他,2019-03-16 02:33:00,https://weibo.cn/comment/Hl6q55mHz,['中'],https://weibo.cn/u/1854314067,:埃塞俄比亚空难最后两分钟 满院蔷薇一架香的微博视频 ,0,1,0,21350,106,411
7,67,1,1630427895,  上海 闵行区,2019-03-15 10:28:56,https://weibo.cn/comment/Hl06LrqoT,['中'],https://weibo.cn/u/1630427895,:埃塞俄比亚空难最后二分钟，最后一段机舱内乘客害怕的尖叫声，听完后整个人都不好了，作为一个航空出行每年有100plus次数的人，表示会努力减少飞机出行的次数。 哈啰杨磊的微博视频 ,1,1,5,1271,181,2226
8,40,1,1082142754,  上海 闸北区,2019-03-16 06:42:47,https://weibo.cn/comment/Hl83t66um,['中'],https://weibo.cn/u/1082142754,:埃塞俄比亚空难最后二分钟 眯眼h看世界的微博视频 ,0,1,1,1863,71,211
9,38,2,5092382439,  上海 浦东新区,2019-03-16 01:51:05,https://weibo.cn/comment/Hl694diri,['中'],https://weibo.cn/u/5092382439,:埃航失事客机黑匣子已经找到，这是记录仪记录的10秒钟，人们濒死的惨叫声！逝者安息。 埃航失事客机黑匣子已经找到，这是记录仪记录的10秒钟，人们濒死的惨叫声！逝者安息。 ,0,0,0,15339,3699,492
