,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path,weibo_content,repost_num,thumbs_up,comment_num,id_tweets,id_following,id_follower,comments
0,38,1,6509112269,  山东,2019-03-14 23:22:44,https://weibo.cn/comment/HkVKm6u8i,['中'],https://weibo.cn/u/6509112269,:网络流传的 埃航最后一分钟希望不是真的愿出行的人平安☔️ 阿毛666大顺的微博视频 ,0,4,4,2227,4832,4275,"[['回复<a href=""/n/%E5%A7%9C%E5%B2%A9"">@姜岩</a>:看的我难受', '0', '03月14日 23:43'], ['看见了', '0', '03月14日 23:40'], ['回复<a href=""/n/%E8%B6%85%E7%BA%A7%E5%B8%82%E5%9C%BA%E9%87%8C%E7%9A%84%E6%96%B0%E8%A3%A4%E5%AD%90"">@超级市场里的新裤子</a>:我等一个朋友平安回国，回来有音讯了就删，谢谢', '0', '03月14日 23:34'], ['假的，这是模拟游戏，删了吧', '0', '03月14日 23:27']]"
1,41,1,1882282084,  福建 厦门,2019-03-15 08:30:09,https://weibo.cn/comment/HkZkygM4A,['中'],https://weibo.cn/u/1882282084,:🙏🙏🙏最后的10秒埃航失事客机黑匣子已找到，这是自动记录仪录下的最后10秒……人们濒死的惨叫声！绝望、无助、恐惧的声音是特别撕心裂肺！……活着就是最大的幸运，远离那些禽寿不如的垃圾人，不值得你去计较，人在做，天在看！人赤祼祼的来到这个世界，也赤裸裸的离开，保持一份好心情，去见你想见的人，去做你想做的事，趁阳光正好，趁你还未老！🙏🙏🙏 厦门 · 旺角 刘文化的秒拍视频,2,2,0,7216,877,67536,[]
2,37,1,1869529505,  河南 郑州,2019-03-15 06:43:04,https://weibo.cn/comment/HkYD5lEN7,['中'],https://weibo.cn/u/1869529505,:埃航失事客机黑匣子记录的最后十秒钟…… 东方·鸿坤·理想海岸 康洁爱久久的秒拍视频 ,0,5,1,349,668,311,"[['<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Ft.cn%2FEMrntD6"">http://t.cn/EMrntD6</a>', '0', '03月15日 10:49']]"
3,41,3,1214634461,  北京 朝阳区,2019-03-15 00:08:05,https://weibo.cn/comment/HkW2LBcJu,['中'],https://weibo.cn/u/1214634461,:这是我今天看到最扎心的视频 埃航失事客机黑匣子自动记录仪录下的最后10秒钟……用力拥抱享受每一天 该吃吃该喝喝该穿穿 因为你永远不知道意外和明天哪一个先来。。。 快乐的海的味道的秒拍视频 ,1,3,5,1331,100,150,"[['<a href=""/n/LAMYIM%E4%B8%B6"">@LAMYIM丶</a>', '0', '03月19日 21:58'], ['<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Ft.cn%2FEMrntD6"">http://t.cn/EMrntD6</a>', '0', '03月15日 11:11'], ['所以要好好珍惜当下', '0', '03月15日 00:21'], ['看完整个人都不好了', '0', '03月15日 00:12']]"
4,94,1,1899961814,  广东 深圳,2019-03-14 16:03:00,https://weibo.cn/comment/HkSRRC7Hp,['中'],https://weibo.cn/u/1899961814,:埃航客机空难，客机坠毁前最后十秒钟现场录像曝光！,24,104,0,1020,186,460,[]
5,42,1,5534569111,  福建 福州,2019-03-14 19:47:16,https://weibo.cn/comment/HkUkTuFGu,['中'],https://weibo.cn/u/5534569111,:埃航最后一分钟令人无助，令人窒息，令人恐怖…… 福州 · 茶亭世茂 xia97889的微博视频 ,0,0,0,337,56,188,[]
6,44,4,2993136175,  北京 东城区,2019-03-13 22:40:29,https://weibo.cn/comment/HkM2I78C9,['中'],https://weibo.cn/u/2993136175,:多角度还原埃航坠机事件，悼念中国女大学生#埃航坠毁客机8名中国乘客遇难##埃航空难救援现场# -揣小花儿的微博视频 ,11,43,25,227,183,8022,"[['这是13年美军运输机在阿富汗坠毁的视频', '10', '03月13日 23:35'], ['我害怕坐飞机了<img alt=""[泪]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;""/>', '2', '03月15日 13:31'], ['这个是美国国家航空102号班机2013年4月29日失事，客改货的波音747，是路过车辆行车记录仪的真实画面。加拿大纪录片《空中浩劫》s16E10有播出', '15', '03月14日 22:39'], ['你看写的行不行，让每一个人都成为百万富翁，千万富翁。不行的话，你就无视我，行的话请关注我谢谢，我的方法不会让你失望。祝每一个人都幸福，又有钱。实产实业，无本买卖，骗你什么，不做都可以拿钱，咱说清楚，看不清楚的点微博名字。成功就是送财童子。', '0', '05月20日 16:29'], ['现在传播谣言不被抓，不被判刑么', '2', '03月16日 09:42'], ['回复<a href=""/n/%E4%B8%80%E9%A1%BE%E5%8D%83%E5%B9%B42001"">@一顾千年2001</a>:好吧。。微信上也好多。。。', '0', '03月16日 09:32'], ['紧急出口是干嘛用的<img alt=""[汗]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_han-0e7b8aa6d1.png"" style=""width:1em; height:1em;""/>', '0', '03月15日 22:42'], ['回复<a href=""/n/%E8%8D%B7%E9%A9%AC%E7%88%B1%E5%90%83%E8%8D%B7%E5%8C%85%E8%9B%8B"">@荷马爱吃荷包蛋</a>:我还打算4月出国呢', '0', '03月15日 17:25'], ['<a href=""/n/Psycho-adi"">@Psycho-adi</a>', '0', '03月15日 13:36'], ['我害怕坐飞机了<img alt=""[泪]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;""/>', '2', '03月15日 13:31'], ['<a href=""/n/%E6%A3%AE%E6%B6%B5a-"">@森涵a-</a> <a href=""/n/%E4%BF%9D%E6%8C%81%E6%A8%82%E8%A7%80_"">@保持樂觀_</a> 恐怖', '0', '03月15日 13:18'], ['回复<a href=""/n/%E6%B0%B4%E4%BA%91%E6%B1%90%E6%B1%90"">@水云汐汐</a>:假的', '0', '03月15日 13:04'], ['回复<a href=""/n/ErikTsaii"">@ErikTsaii</a>:这是一架747...', '0', '03月15日 12:56'], ['回复<a href=""/n/ErikTsaii"">@ErikTsaii</a>:<img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;""/>', '0', '03月15日 00:36'], ['多少年前的视频了', '0', '03月15日 00:18'], ['假视频  瞎发 谣言 没素质', '5', '03月15日 00:11'], ['回复<a href=""/n/%E6%84%9F%E8%B0%A2%E4%BB%8A%E6%99%9A%E7%9A%84%E8%BE%A3%E6%9D%A111"">@感谢今晚的辣条11</a>:机翼是埃航标志', '0', '03月14日 22:40'], ['这个是美国国家航空102号班机2013年4月29日失事，客改货的波音747，是路过车辆行车记录仪的真实画面。加拿大纪录片《空中浩劫》s16E10有播出', '15', '03月14日 22:39'], ['假的 好几年前的视频', '9', '03月14日 01:41'], ['这是13年美军运输机在阿富汗坠毁的视频', '10', '03月13日 23:35'], ['心痛<img alt=""[蜡烛]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-6209fc6e73.png"" style=""width:1em; height:1em;""/>', '0', '03月13日 23:24'], ['看完好痛。不知道怀着什么心情看的。', '0', '03月13日 23:08'], ['哎，这一瞬间。我看了飞机上的视频。唯一佩服的是，全体人员没有人慌乱。。', '2', '03月13日 22:58'], ['<a href=""/n/%E6%9D%8E%E4%BB%B2%E6%80%A1"">@李仲怡</a>', '0', '03月13日 22:56'], ['<a href=""/n/%E6%9D%A8%E9%B8%A6"">@杨鸦</a>', '1', '03月13日 22:56'], ['<a href=""/n/%E5%8F%AF%E7%88%B1%E5%A4%9Azjy%E7%88%B1%E7%95%AA%E7%9F%B3%E6%A6%B4"">@可爱多zjy爱番石榴</a>', '0', '03月13日 22:55']]"
7,53,4,6994013922,  广东 广州,2019-03-14 19:09:54,https://weibo.cn/comment/HkU5JiSdC,['中'],https://weibo.cn/u/6994013922,:此片是我同事一起传给我看的车内拍的画面！！#埃塞俄比亚航空一飞机坠毁# #埃航空难加拿大一家六口罹难# 伟伟_55654的微博视频 ,9,16,10,385,185,396,"[['<a href=""/n/%E8%8B%8F%E8%B6%85_Molo"">@苏超_Molo</a> 不是那个 但是飞机坠毁还是好吓人', '0', '03月16日 12:03'], ['转发微博', '0', '03月15日 08:20'], ['回复<a href=""/n/%E6%99%93%E7%AD%B1J"">@晓筱J</a>:这是真的13年阿富汗好像也是波音飞机 是个货机', '0', '03月15日 08:05'], ['<a href=""/n/%E8%8B%A6%E9%80%BC%E8%8B%A6"">@苦逼苦</a>', '0', '03月15日 00:26'], ['流泪', '0', '03月14日 23:29'], ['<a href=""/n/My-only-faith"">@My-only-faith</a>', '0', '03月14日 22:02'], ['太吓人了！', '0', '03月14日 21:29'], ['太恐怖了', '0', '03月14日 20:21'], ['坠毁的是737这是747', '0', '03月14日 19:58'], ['太可怕了', '0', '03月14日 19:20']]"
8,43,4,6083252891,  四川 成都,2019-03-14 17:43:06,https://weibo.cn/comment/HkTwvi7lh,['中'],https://weibo.cn/u/6083252891,:埃航飞机✈️失事前的最后10秒呐喊，听着很揪心也很无助的乘客，生命曾可贵，安全最重要！@人民日报 @头条新闻 @波音公司 梓艺星辰的秒拍视频 ,2,7,7,466,847,10513,"[['啥都碎成渣渣了，怎么可能有完整的手机……假的假的', '0', '03月19日 10:37'], ['回复<a href=""/n/%E6%98%93%E4%B8%AA%E5%BE%88%E5%88%9A%E7%9A%84%E9%9D%A2%E5%9B%A2%E5%84%BF"">@易个很刚的面团儿</a>:删不掉，管理员设置的', '0', '03月16日 11:42'], ['靠，处理了干嘛还放出来？？？<a href=""/n/%E5%BE%AE%E5%8D%9A%E7%AE%A1%E7%90%86%E5%91%98"">@微博管理员</a>', '0', '03月16日 10:51'], ['不是不是，这是模拟', '3', '03月14日 21:37'], ['举报', '0', '03月14日 19:56'], ['别散播谣言好吗？这根本不是', '0', '03月14日 18:23']]"
9,41,1,5884544554,  北京,2019-03-15 01:40:36,https://weibo.cn/comment/HkWEjuYMH,['中'],https://weibo.cn/u/5884544554,:我上传了一个视频 埃航失事客机黑匣子已找到，这是自动记录仪录下的最后10秒钟，人们濒死的惨叫声。活着就是最大的幸运，没那么多的事和人值得你去计较，人赤祼祼的来到这个世界也赤裸裸的离开，趁你我都在，趁你还未老，去见你想见的人，去做你想... http://t.cn/EM1QVqJ ,0,1,4,802,1014,163591,"[['黑匣子是不会记录客舱视频的。', '0', '03月15日 05:12'], ['脑子是个好东西，可惜你没有，转发500送你进去<img alt=""[拜拜]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-71b47dffdc.png"" style=""width:1em; height:1em;""/>', '2', '03月15日 04:53'], ['发之前动动你的脑子 转发过500你就进去了', '2', '03月15日 02:38'], ['别造谣，转之前多想想', '2', '03月15日 02:00']]"
