,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,comments,weibo_content,repost_num,thumbs_up,comment_num
0,144,1,6393953260,  浙江,2019-08-09 20:40:30,https://weibo.cn/comment/I1stFzakR,['中'],['no comment accessible'],no access,no access,no access,no access
1,36,3,1645817972,  广东,2019-08-11 16:04:27,https://weibo.cn/comment/I1JwChWGU,['中'],['no comment accessible'],no access,no access,no access,no access
2,22,1,6591572031,  广东,2019-08-11 14:58:05,https://weibo.cn/comment/I1J5GswQN,['中'],['no comment accessible'],no access,no access,no access,no access
3,25,1,6900469946,  其他,2019-08-10 21:39:42,https://weibo.cn/comment/I1CichXQW,['中'],['no comment accessible'],no access,no access,no access,no access
4,19,10,6039640022,  北京,2019-08-12 09:08:58,https://weibo.cn/comment/I1Qet6W2M,['中'],['no comment accessible'],no access,no access,no access,no access
5,15,8,2002547644,  海外,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
6,56,1,7195001932,  辽宁,2019-08-12 16:54:45,https://weibo.cn/comment/I1Thx0hw1,['中'],['no comment accessible'],no access,no access,no access,no access
7,27,1,6329822151,  内蒙古,2019-05-26 10:55:30,https://weibo.cn/comment/HvX3iyVca,['正常'],['no comment accessible'],no access,no access,no access,no access
8,198,2,1762526612,  湖北,2019-08-12 15:57:17,https://weibo.cn/comment/I1SUcwz9E,['中'],['no comment accessible'],no access,no access,no access,no access
9,42,1,6920941945,  陕西,2019-06-09 09:03:09,https://weibo.cn/comment/Hy4iEAtoK,['中'],['no comment accessible'],no access,no access,no access,no access
10,40,1,6187207675,  广东,2019-08-11 09:23:57,https://weibo.cn/comment/I1GU3Acbz,['正常'],['no comment accessible'],no access,no access,no access,no access
11,24,12,1969467143,  辽宁,2019-08-12 07:56:22,https://weibo.cn/comment/I1PL08JZs,['中'],['no comment accessible'],no access,no access,no access,no access
12,16,1,6438838668,  海外,2019-08-20 07:15:09,https://weibo.cn/comment/I32Uf8fGM,['中'],['no comment accessible'],no access,no access,no access,no access
13,20,1,3325992330,  广东,2019-08-19 23:49:16,https://weibo.cn/comment/I2ZZgoEL8,['中'],['no comment accessible'],no access,no access,no access,no access
14,19,1,2614543117,  上海,2019-08-04 10:34:18,https://weibo.cn/comment/I0Dn8fQhI,['正常'],['no comment accessible'],no access,no access,no access,no access
15,19,1,6586580892,  北京,2019-08-04 10:35:02,https://weibo.cn/comment/I0DnqxRyW,['正常'],['no comment accessible'],no access,no access,no access,no access
16,67,1,6405349029,  北京,2019-08-04 15:17:43,https://weibo.cn/comment/I0FeazVdq,['正常'],['no comment accessible'],no access,no access,no access,no access
17,19,5,6191484400,  其他,2019-08-19 20:12:35,https://weibo.cn/comment/I2Yzj6Nk3,['中'],['no comment accessible'],no access,no access,no access,no access
18,918,105,3229929371,  海外,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
19,116,49,6827044359,  北京,2019-08-20 18:11:09,https://weibo.cn/comment/I37cvDxnq,['中'],['no comment accessible'],no access,no access,no access,no access
