view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
112,4,1571875947,  北京 朝阳区,None,nn,['正常'],https://weibo.cn/u/1571875947
113,1,2257453080,  海外,2016-09-16 23:17:42,https://weibo.cn/comment/E8ABUnNS9,['正常'],https://weibo.cn/u/2257453080
113,1,5896728339,  湖南 长沙,None,nn,['正常'],https://weibo.cn/u/5896728339
108,2,5878674193,  广东 东莞,2016-09-16 23:22:45,https://weibo.cn/comment/E8ADXmPtW,['正常'],https://weibo.cn/u/5878674193
111,1,6029439792,  广东 河源,2016-09-18 11:42:14,https://weibo.cn/comment/E8OUBpOmK,['正常'],https://weibo.cn/u/6029439792
154,1,5310969036,  香港 其他,2016-09-16 23:40:53,https://weibo.cn/comment/E8ALjDBIn,['中'],https://weibo.cn/u/5310969036
122,2,5327021245,  安徽,None,nn,['正常'],https://weibo.cn/u/5327021245
110,1,5848017003,  其他,None,nn,['中'],https://weibo.cn/u/5848017003
121,1,2508267922,  海外,2016-09-16 23:24:20,https://weibo.cn/comment/E8AEBkz3C,['正常'],https://weibo.cn/u/2508267922
121,1,1215209095,  北京 朝阳区,2016-09-16 23:53:19,https://weibo.cn/comment/E8AQmwBt9,['正常'],https://weibo.cn/u/1215209095
174,1,5729663683,  其他,None,nn,['正常'],https://weibo.cn/u/5729663683
108,1,5634281315,  河北 邢台,None,nn,['正常'],https://weibo.cn/u/5634281315
115,1,1250031902,  上海,None,nn,['正常'],https://weibo.cn/u/1250031902
353,1,1885129790,  上海,None,nn,['正常'],https://weibo.cn/u/1885129790
110,2,2141438874,  台湾,None,nn,['低'],https://weibo.cn/u/2141438874
107,1,5676240645,  江苏 连云港,2016-09-18 09:03:07,https://weibo.cn/comment/E8NS29wKj,['正常'],https://weibo.cn/u/5676240645
641,1,5845572593,  广东,2016-09-16 21:45:46,https://weibo.cn/comment/E8A0Bd5Fl,['中'],https://weibo.cn/u/5845572593
134,16,,= ,None,nn,[],https://weibo.cn/u/
113,28,5848017003,  其他,None,nn,['中'],https://weibo.cn/u/5848017003
124,188,5848017003,  其他,None,nn,['中'],https://weibo.cn/u/5848017003
